EICHUNG v3-01  eichung_ok=True
EICHUNG OK -- 3 Laeufe ueber je 180 Faelle (42 Grundkorpus + 138 Grundrate-Eichfaelle), Positivkontrolle bei n=90.
  [lauf 0] v3-01  einordnung=bestanden
  [lauf 0] v3-02  einordnung=bestanden
  [lauf 0] v3-03  einordnung=bestanden
  [lauf 0] v3-04  einordnung=bestanden
  [lauf 0] v3-05  einordnung=bestanden
  [lauf 0] v3-06  einordnung=bestanden
  [lauf 0] v3-07  einordnung=bestanden
  [lauf 0] v3-08  einordnung=bestanden
  [lauf 0] v3-09  einordnung=bestanden
  [lauf 0] v3-10  einordnung=bestanden
  [lauf 0] v3-11  einordnung=bestanden
  [lauf 0] v3-12  einordnung=bestanden
  [lauf 0] v3-13  einordnung=bestanden
  [lauf 0] v3-14  einordnung=bestanden
  [lauf 0] v3-15  einordnung=bestanden
  [lauf 0] v3-16  einordnung=bestanden
  [lauf 0] v3-17  einordnung=bestanden
  [lauf 0] v3-18  einordnung=bestanden
  [lauf 0] v3-19  einordnung=bestanden
  [lauf 0] v3-20  einordnung=bestanden
  [lauf 0] v3-21  einordnung=bestanden
  [lauf 0] v3-22  einordnung=bestanden
  [lauf 0] v3-23  einordnung=bestanden
  [lauf 0] v3-24  einordnung=bestanden
  [lauf 0] v3-25  einordnung=eichfall
  [lauf 0] v3-26  einordnung=eichfall
  [lauf 0] v3-27  einordnung=eichfall
  [lauf 0] v3-28  einordnung=eichfall
  [lauf 0] v3-29  einordnung=eichfall
  [lauf 0] v3-30  einordnung=eichfall
  [lauf 0] v3-31  einordnung=bestanden
  [lauf 0] v3-32  einordnung=bestanden
  [lauf 0] v3-33  einordnung=bestanden
  [lauf 0] v3-34  einordnung=bestanden
  [lauf 0] v3-35  einordnung=bestanden
  [lauf 0] v3-36  einordnung=bestanden
  [lauf 0] v3-37  einordnung=bestanden
  [lauf 0] v3-38  einordnung=bestanden
  [lauf 0] v3-39  einordnung=bestanden
  [lauf 0] v3-40  einordnung=bestanden
  [lauf 0] v3-41  einordnung=kein_treffer
  [lauf 0] v3-42  einordnung=kein_treffer
  [lauf 0] v3g-001  einordnung=eichfall
  [lauf 0] v3g-002  einordnung=eichfall
  [lauf 0] v3g-003  einordnung=eichfall
  [lauf 0] v3g-004  einordnung=eichfall
  [lauf 0] v3g-005  einordnung=eichfall
  [lauf 0] v3g-006  einordnung=eichfall
  [lauf 0] v3g-007  einordnung=eichfall
  [lauf 0] v3g-008  einordnung=eichfall
  [lauf 0] v3g-009  einordnung=eichfall
  [lauf 0] v3g-010  einordnung=eichfall
